Date,Close
2024-02-22,18.55
2024-02-23,18.5
2024-02-26,17.65
2024-02-27,18.04
2024-02-28,17.83
2024-02-29,17.41
2024-03-01,17.56
2024-03-04,17.39
2024-03-05,17.75
2024-03-06,17.97
2024-03-07,18.23
2024-03-08,18.45
2024-03-11,18.34
2024-03-12,18.27
2024-03-13,18.55
2024-03-14,18.36
2024-03-15,18.28
2024-03-18,17.81
2024-03-19,17.94
2024-03-20,18.15
2024-03-21,18.3
2024-03-22,17.78
2024-03-25,17.82
2024-03-26,18.12
2024-03-27,18.45
2024-03-28,18.8
2024-04-01,18.5
2024-04-02,18.13
2024-04-03,17.91
2024-04-04,17.87
2024-04-05,17.86
2024-04-08,18.16
2024-04-09,18.41
2024-04-10,18.16
2024-04-11,18.28
2024-04-12,17.45
2024-04-15,17.71
2024-04-16,17.79
2024-04-17,17.87
2024-04-18,17.86
2024-04-19,17.82
2024-04-22,18.0
2024-04-23,18.52
2024-04-24,18.71
2024-04-25,18.42
2024-04-26,18.55
2024-04-29,18.9
2024-04-30,18.61
2024-05-01,18.83
2024-05-02,19.5
2024-05-03,19.61
2024-05-06,20.68
2024-05-07,20.4
2024-05-08,20.37
2024-05-09,20.51
2024-05-10,20.42
2024-05-13,20.94
2024-05-14,21.35
2024-05-15,21.65
2024-05-16,21.52
2024-05-17,21.8
2024-05-20,21.77
2024-05-21,21.85
2024-05-22,21.96
2024-05-23,21.35
2024-05-24,20.99
2024-05-28,20.98
2024-05-29,20.57
2024-05-30,20.94
2024-05-31,21.33
2024-06-03,21.38
2024-06-04,20.88
2024-06-05,20.96
2024-06-06,20.67
2024-06-07,20.75
2024-06-10,20.71
2024-06-11,20.26
2024-06-12,20.84
2024-06-13,20.51
2024-06-14,20.4
2024-06-17,20.35
2024-06-18,20.35
2024-06-20,20.45
2024-06-21,20.84
2024-06-24,21.12
2024-06-25,20.79
2024-06-26,20.63
2024-06-27,20.59
2024-06-28,20.7
2024-07-01,20.31
2024-07-02,20.12
2024-07-03,20.31
2024-07-05,20.11
2024-07-08,20.14
2024-07-09,19.93
2024-07-10,19.92
2024-07-11,20.88
2024-07-12,21.3
2024-07-15,20.73
2024-07-16,20.81
2024-07-17,21.16
2024-07-18,20.97
2024-07-19,20.98
2024-07-22,21.54
2024-07-23,21.46
2024-07-24,21.63
2024-07-25,22.07
2024-07-26,22.19
2024-07-29,22.48
2024-07-30,22.27
2024-07-31,21.86
2024-08-01,21.65
2024-08-02,20.91
2024-08-05,20.19
2024-08-06,18.65
2024-08-07,19.05
2024-08-08,19.56
2024-08-09,20.15
2024-08-12,19.46
2024-08-13,20.29
2024-08-14,19.97
2024-08-15,20.22
2024-08-16,20.35
2024-08-19,20.96
2024-08-20,20.8
2024-08-21,21.03
2024-08-22,20.89
2024-08-23,22.36
2024-08-26,23.03
2024-08-27,22.41
2024-08-28,22.47
2024-08-29,22.31
